ACN;AMT;AMZN;APD;AVB;AZO;BALL;BLK;CBRE;CDW;CF;CHRW;CNC;CSX;DGX;EA;FDS;FDX;GE;GL;GM;HAS;HBAN;HPQ;IDXX;ILMN;IVZ;KEYS;MCHP;MCO;NEM;NVR;NWSA;PEAK;PGR;PHM;PLD;REG;RHI;ROL;SEE;SJM;SNA;STX;TRV;UAL;USB;VLO;VRSK;YUM
133.558;146.031;75.099;146.063;152.571;838.34;44.521;354.14;40.04;77.694;39.35;76.329;57.65;19.755;76.687;78.089;193.09;152.144;57.253;72.051;31.312;72.672;9.902;18.046;186.02;299.93;13.943;62.08;34.087;135.537;30.524;2436.99;10.796;23.744;52.126;24.674;53.222;50.238;53.054;23.052;32.771;83.451;131.862;32.237;108.936;83.73;39.636;62.146;106.387;85.988
145.435;160.432;85.937;151.058;170.558;847.34;50.622;377.096;45.75;79.822;39.476;79.228;65.285;20.89;80.444;91.28;210.939;167.967;76.948;80.974;36.91;80.999;11.127;19.57;212.78;279.79;15.176;74.02;38.092;153.413;30.174;2660.0;12.204;26.813;58.139;26.515;63.153;55.649;59.76;23.78;37.326;93.617;150.649;37.624;114.909;87.27;44.734;72.798;114.553;87.915
152.851;163.505;81.992;166.486;172.069;938.97;53.042;402.661;49.76;90.002;38.165;82.524;60.89;23.106;80.207;94.783;226.897;171.211;81.837;79.981;37.345;76.466;12.11;17.527;211.03;312.77;16.117;84.41;41.173;167.554;30.182;2620.0;12.385;26.158;62.987;25.743;63.974;55.863;63.248;25.326;41.22;94.537;145.213;39.561;121.654;87.81;45.197;67.608;123.354;88.401
166.718;182.913;89.037;175.473;177.462;1024.12;56.126;388.261;49.45;92.667;37.233;79.872;53.1;23.868;83.33;100.572;240.2;171.599;78.687;79.39;35.094;76.574;10.656;17.26;223.6;310.69;16.348;87.2;39.478;175.783;31.642;2767.0;11.833;26.931;64.704;26.658;65.7;58.295;60.717;26.652;43.525;104.849;142.898;40.691;125.544;79.78;42.137;71.087;129.764;93.788
173.016;181.28;96.326;190.261;178.994;1028.31;58.143;444.188;52.07;101.543;40.785;74.373;51.56;25.403;89.317;93.665;266.903;179.89;80.189;84.922;37.209;91.741;11.816;17.872;232.0;312.0;18.6;87.03;47.535;190.857;27.588;3152.48;11.905;25.623;70.143;30.116;70.527;58.018;57.856;24.762;44.212;110.366;153.635;41.6;132.351;88.86;46.984;75.972;137.974;98.091
170.056;194.673;88.754;188.227;180.847;1027.11;59.55;380.403;45.7;94.658;36.65;73.115;57.75;23.757;89.402;92.111;269.157;146.487;74.433;83.009;31.85;86.265;10.738;16.735;249.77;306.91;16.543;75.13;38.084;177.52;30.123;3201.57;10.918;27.284;71.255;29.675;67.767;56.973;50.001;24.058;39.736;109.403;142.351;36.03;134.027;77.65;44.234;58.995;136.859;96.174
176.455;190.645;94.682;209.288;180.998;1099.47;68.059;429.596;51.3;107.033;42.858;77.448;52.44;24.762;94.902;100.206;277.965;155.896;82.791;86.843;36.808;95.822;11.731;18.625;275.33;368.15;17.578;89.81;41.44;190.088;35.021;3370.25;12.931;27.853;71.839;30.269;73.682;58.167;53.415;23.035;40.57;104.366;152.11;40.567;137.664;87.55;46.173;72.542;143.174;104.428
183.913;198.183;93.339;212.146;187.411;1123.04;69.508;431.389;53.01;113.937;45.473;77.357;52.09;22.531;95.153;91.537;268.983;162.543;82.476;88.649;38.95;109.858;12.223;19.002;282.05;299.38;16.487;89.52;45.13;208.609;33.382;3344.14;12.615;27.81;72.783;30.267;74.653;58.133;56.601;21.533;39.776;100.741;140.145;40.444;135.741;91.91;50.72;72.237;148.571;106.174
189.252;215.573;88.814;209.962;190.795;1101.69;78.192;389.771;52.27;111.372;44.216;78.059;46.62;21.45;95.912;92.705;263.929;151.182;65.113;86.815;35.812;100.716;11.366;16.518;289.74;281.34;13.489;96.86;41.264;209.816;36.462;3599.0;13.18;30.231;68.21;32.467;77.441;56.224;50.098;21.07;37.901;95.278;136.536;43.85;136.056;84.31;46.761;63.789;158.187;110.193
183.694;207.089;86.796;206.188;193.281;1084.62;70.934;411.06;53.01;119.137;45.422;78.327;43.26;22.252;100.279;96.802;236.299;138.752;70.559;93.137;36.189;108.21;12.24;17.087;271.93;304.22;14.838;97.25;44.59;199.82;34.662;3717.35;13.343;31.387;69.515;35.108;78.922;61.109;52.445;21.95;39.51;100.461;144.686;46.977;137.657;88.41;49.113;73.03;154.858;107.42
177.075;205.11;88.833;199.241;196.76;1144.38;68.167;429.28;53.55;123.651;41.868;70.307;53.08;22.573;94.863;95.397;246.559;146.088;78.852;94.664;36.24;88.718;12.245;15.82;285.01;295.52;14.733;100.91;45.252;215.292;36.45;3636.59;13.234;33.14;62.721;37.81;81.781;59.13;53.962;24.553;39.918;96.498;150.352;51.293;121.99;90.84;50.99;83.088;141.925;96.321
192.932;201.301;90.04;220.795;193.822;1177.92;64.358;460.158;57.02;130.554;42.662;71.432;60.47;22.981;100.334;99.959;252.521;153.16;89.044;100.132;35.108;93.359;12.904;18.289;251.58;320.76;15.382;107.03;45.372;221.125;35.23;3791.89;12.433;30.726;65.822;38.205;85.313;57.196;54.838;23.097;36.057;95.96;148.309;52.751;127.258;92.8;53.681;81.811;144.652;95.336
201.958;216.152;92.392;219.543;189.564;1191.31;63.146;467.401;61.29;138.467;44.358;72.687;62.87;23.322;100.56;106.391;261.652;144.7;88.175;102.559;35.694;96.949;13.068;18.717;261.13;331.74;16.023;102.63;50.458;232.121;39.863;3808.41;13.649;30.667;65.228;37.386;83.067;55.98;59.822;21.45;38.064;95.881;157.623;52.592;127.472;88.09;53.02;80.956;146.476;95.803
196.817;218.931;100.436;224.123;197.319;1057.96;70.479;493.668;61.05;126.456;37.427;67.57;62.81;24.605;104.213;106.797;279.021;139.0;98.457;101.594;32.912;93.515;11.876;19.587;271.01;290.07;15.417;92.99;46.969;251.069;41.487;3816.97;13.147;32.019;72.707;43.153;87.081;55.049;55.104;24.549;34.071;95.402;148.532;50.922;123.256;74.8;47.929;72.882;159.627;100.597
173.873;214.264;94.188;206.19;182.658;1032.51;68.8;433.437;56.14;110.723;34.249;64.464;53.02;22.706;100.37;100.315;259.4;135.665;86.041;90.439;30.064;71.38;10.738;19.1;254.51;265.67;12.832;94.76;43.707;234.683;41.091;3667.18;11.661;28.149;68.034;38.852;79.018;50.967;47.753;24.219;29.09;94.831;134.687;42.844;112.196;61.59;41.823;57.27;152.395;84.885
157.188;205.715;97.486;187.412;134.014;846.0;63.268;411.869;37.71;90.672;25.457;61.938;59.41;18.532;75.992;99.127;254.854;116.532;62.791;70.245;20.483;66.113;7.185;15.949;242.24;273.12;8.227;83.68;32.778;207.215;41.69;2569.11;8.668;21.431;68.667;21.571;75.352;34.419;35.967;23.449;23.716;103.035;101.943;43.604;93.037;31.55;31.025;39.672;136.941;65.47
178.302;224.845;123.7;213.179;149.87;1020.32;64.178;473.54;42.93;107.713;25.738;66.817;66.58;21.42;104.203;113.071;268.854;122.439;53.829;80.367;22.239;66.723;8.233;14.382;277.6;319.03;7.81;96.77;42.413;238.959;54.919;3100.0;9.661;23.489;71.884;27.415;84.356;39.327;45.037;25.954;27.581;106.664;122.056;45.354;95.405;29.58;33.261;55.407;150.423;82.571
194.997;244.919;122.118;228.365;143.487;1147.86;69.726;498.63;43.98;107.82;27.488;76.457;66.25;23.15;112.796;121.601;300.638;126.1;52.008;75.389;25.821;68.564;7.921;14.039;308.88;363.05;7.221;108.13;46.421;261.993;53.986;3221.61;11.943;22.141;72.333;32.943;86.502;38.324;48.344;27.122;30.967;105.754;121.494;48.16;100.844;28.04;32.405;58.284;169.96;85.724
207.667;245.27;137.941;228.186;142.227;1128.12;68.139;513.203;45.22;113.338;26.662;74.507;63.55;22.635;108.676;130.675;321.953;135.43;54.067;72.658;25.242;69.907;8.055;16.163;330.16;370.35;9.95;100.78;51.125;269.746;57.005;3258.75;11.562;25.152;74.596;33.001;88.232;41.781;50.69;27.557;31.69;98.954;130.82;43.956;107.509;34.61;33.553;52.253;167.519;83.464
217.396;249.012;158.234;272.402;142.324;1207.42;72.198;545.986;43.81;113.406;29.684;88.863;65.25;23.155;121.178;140.146;339.43;163.428;48.122;77.914;24.833;67.864;8.384;16.461;397.75;382.16;9.284;99.89;49.387;276.197;64.168;3930.15;12.401;24.906;84.122;42.422;100.277;37.356;48.81;34.065;34.585;102.264;137.771;41.59;108.578;31.38;33.967;49.952;186.047;87.44
232.899;237.351;172.548;277.753;146.916;1196.31;78.807;564.198;47.03;110.87;30.916;93.206;61.32;24.816;106.586;138.018;343.448;213.349;50.263;80.942;29.563;74.318;8.51;18.306;391.06;357.22;9.432;98.52;53.257;289.294;62.387;4168.34;14.741;25.225;88.61;43.385;96.891;36.155;51.045;35.846;38.094;112.393;140.038;44.138;110.116;36.0;33.561;46.719;184.035;92.05
219.367;230.283;157.436;283.075;138.811;1177.64;81.656;535.105;46.97;117.006;29.349;96.894;58.33;25.295;109.7;129.053;328.952;244.093;49.391;78.41;29.523;77.876;8.293;17.782;393.11;309.08;10.696;98.78;50.058;285.151;58.836;4083.12;13.668;25.102;88.265;45.039;95.711;35.094;51.11;35.281;37.619;108.887;139.957;45.315;102.666;34.75;33.054;39.166;182.695;88.109
210.553;219.836;151.807;263.73;130.692;1128.98;87.433;572.382;50.4;120.011;26.386;84.278;59.1;25.709;117.03;118.583;301.074;252.529;58.922;79.578;34.451;77.876;9.586;16.973;424.82;292.7;12.29;104.87;51.188;258.638;58.492;3953.09;12.885;24.936;85.682;39.763;94.896;32.851;48.937;37.664;38.526;105.758;149.85;44.582;115.41;33.86;36.335;34.908;175.719;90.068
242.737;221.32;158.402;267.454;156.487;1137.65;94.319;667.083;61.14;127.734;35.647;89.558;61.65;29.327;119.381;126.42;327.852;278.914;80.839;91.578;43.74;88.299;11.092;20.724;460.98;322.09;15.215;120.04;65.466;277.763;54.751;3997.18;17.32;26.683;81.301;42.563;95.71;42.072;61.961;37.228;43.849;110.471;167.277;54.828;123.957;45.05;40.309;48.614;195.802;102.102
254.548;214.868;162.846;260.847;150.701;1185.44;91.682;689.235;62.72;129.401;37.366;89.463;60.03;29.639;114.749;142.105;327.396;252.675;85.763;93.408;41.545;88.783;11.597;23.238;499.87;370.0;16.512;132.09;67.478;286.119;55.746;4079.86;17.634;28.31;92.286;42.066;95.336;42.082;60.635;38.283;44.559;109.787;163.975;57.952;134.206;43.25;43.462;52.062;204.965;105.237
235.75;218.862;160.31;255.945;155.315;1118.37;86.605;673.265;60.98;129.274;39.943;81.994;60.3;28.009;124.359;141.898;297.699;229.557;84.888;88.912;50.565;89.048;12.295;23.192;478.68;426.44;19.506;141.59;66.5;262.479;55.849;4446.48;19.038;27.767;81.376;42.578;99.3;44.109;65.507;35.294;41.278;110.557;172.454;62.285;131.139;39.99;40.341;51.933;181.432;98.383
245.337;208.052;154.646;245.257;166.778;1159.92;84.017;666.775;75.77;154.046;43.708;87.064;58.54;29.9;111.805;132.752;299.245;248.247;99.672;92.051;51.213;88.944;14.256;27.603;520.17;439.41;21.24;141.52;74.572;270.987;50.958;4500.84;23.012;27.242;84.136;44.154;95.326;51.214;75.493;32.502;40.917;106.368;194.606;68.983;139.991;52.68;47.072;70.846;162.003;100.361
270.124;230.125;154.704;269.934;175.091;1404.3;83.523;723.861;79.11;163.161;44.111;91.453;63.91;31.585;124.138;134.139;304.633;277.061;104.361;95.234;57.329;91.898;14.609;30.252;489.31;384.06;24.057;143.4;76.027;295.033;56.477;4710.93;24.955;30.022;93.592;51.328;101.994;53.019;76.114;33.799;44.745;121.109;222.483;72.298;144.705;57.54;52.071;66.91;174.699;105.371
283.54;245.247;173.371;278.261;183.758;1464.12;92.295;791.251;85.2;175.544;47.27;93.547;61.74;33.004;127.562;140.963;331.908;283.914;104.359;101.009;57.09;95.081;14.371;32.711;548.99;392.84;25.755;144.35;73.612;322.796;59.054;5018.1;25.809;32.481;98.614;58.033;112.822;60.123;85.415;36.608;48.417;125.378;229.097;88.234;149.621;54.4;56.3;69.115;186.391;116.417
276.757;247.187;161.154;289.045;198.057;1406.6;80.98;847.015;87.78;162.836;51.683;93.489;73.6;32.797;127.968;141.806;330.072;307.874;111.836;104.11;59.175;92.388;14.878;28.031;558.11;405.64;27.215;142.38;76.874;331.333;69.529;4887.23;26.588;31.573;97.089;56.728;114.09;61.011;86.565;33.475;55.729;127.579;245.508;90.999;154.496;58.35;57.656;75.133;171.169;116.855
289.145;261.391;172.008;277.49;199.732;1492.22;80.002;845.016;85.73;172.332;50.293;90.261;72.93;31.615;128.26;142.699;332.128;291.757;107.063;94.067;59.035;90.992;13.386;28.952;631.55;473.21;25.651;154.41;73.549;358.716;59.972;4973.3;25.386;31.772;96.237;53.567;115.727;60.51;87.117;33.656;58.071;124.852;216.503;84.194;144.832;52.29;54.042;73.888;173.041;112.51
311.597;274.951;166.38;282.189;219.695;1623.57;79.863;841.398;96.46;180.917;46.187;86.386;68.61;31.851;137.814;142.998;353.573;274.46;103.085;91.953;56.711;95.729;13.346;27.863;678.53;495.75;23.396;164.55;70.297;372.208;59.887;5222.6;24.263;35.284;93.248;53.997;124.588;62.319;96.165;37.72;55.815;126.336;211.222;84.165;144.877;46.72;53.073;63.374;188.432;128.512
331.047;284.061;173.54;261.323;221.383;1549.15;94.754;915.256;96.3;197.948;44.399;87.248;62.98;32.058;149.227;144.24;376.275;260.48;104.886;95.074;48.898;95.286;14.721;28.703;673.76;457.16;24.298;179.38;77.292;376.93;55.283;5179.94;22.135;34.358;94.5;53.003;131.03;65.378;101.247;38.301;60.025;119.167;217.976;83.869;155.374;46.51;54.841;62.75;200.158;128.16
314.68;258.044;164.252;248.33;213.726;1697.99;89.025;813.736;97.36;179.97;54.901;84.284;62.31;29.39;141.885;141.468;391.536;214.99;102.518;88.107;52.59;86.475;14.654;26.406;621.9;405.61;23.291;164.29;75.621;352.113;51.765;4794.08;23.179;32.212;88.664;45.189;122.048;64.149;98.607;34.841;53.887;116.538;203.609;79.014;147.883;47.57;56.8;67.743;198.68;120.077
352.913;275.423;168.622;292.388;228.229;1784.84;90.519;919.415;104.08;184.548;55.864;94.503;71.24;35.745;143.32;139.479;440.243;231.564;104.43;88.097;54.306;92.814;15.069;29.464;666.14;415.06;24.547;180.02;73.005;400.739;51.97;4894.8;22.662;34.165;93.068;47.452;141.722;67.675;111.128;34.742;58.533;119.286;198.035;85.98;157.385;46.14;58.131;74.232;208.896;122.659
352.59;256.386;175.354;280.324;232.005;1817.07;92.469;881.555;95.57;187.227;59.592;92.651;71.41;34.252;145.806;123.537;464.72;226.491;94.591;85.834;57.738;94.595;14.207;34.272;608.07;365.33;21.572;194.48;82.208;387.343;52.855;5225.34;21.395;31.615;91.265;49.377;147.382;66.646;109.261;32.819;61.296;122.791;200.647;99.108;143.757;42.26;53.287;64.258;223.4;120.598
408.971;285.709;166.717;296.728;245.331;2096.39;95.46;892.226;108.51;202.991;69.943;104.87;82.4;37.255;169.666;131.174;482.88;254.285;94.073;92.955;58.496;99.348;14.762;36.594;658.46;380.44;22.384;206.51;86.026;387.904;59.688;5908.87;22.078;35.03;100.8;56.414;164.599;72.423;109.959;33.907;66.575;132.892;211.253;109.061;153.031;43.78;54.087;73.019;227.235;136.866
